cwe,cve_id,aliases,dependency,project,fix_available,affected_versions,epss_score,base_cvss,cvss_version,remediation,remediation_action
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a1d19e82e5e5364879,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a1d19e82e5e5364879,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
20,CVE-2025-15284,"GHSA-6rw7-vpxm-498p,CVE-2025-15284",npm://qs@6.14.0,698626a1d19e82e5e5364879,6.14.1,6.14.0,0.00193,7.5,3,"Update ts-service-user-org@4.3.22 to use qs version 6.14.1 (current: 6.14.0, latest: 6.15.0).",FINDING_REMEDIATION_UPGRADE
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.11.0,698626a033f1ecc1eb7de899,1.12.0,1.11.0,0.00102,7.5,3,"Upgrade axios to version 1.12.0 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a033f1ecc1eb7de899,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a033f1ecc1eb7de899,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a033f1ecc1eb7de83c,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.12.1,698626a033f1ecc1eb7de83c,1.13.5,1.12.1,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.12.1, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a081142d2263c6f36d,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a081142d2263c6f36d,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.11.0,698626a081142d2263c6f36d,1.12.0,1.11.0,0.00102,7.5,3,"Upgrade axios to version 1.12.0 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.12.0,698626a081142d2263c6f36e,1.13.5,1.12.0,0.00033,7.5,3,"Update ts-lib-nucleus@6.8.2 (tetrascience.gh-tetrascience) to use axios version 1.13.5 (current: 1.12.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.11.0,698626a0a5f2149724233a0e,1.12.0,1.11.0,0.00102,7.5,3,"Update remove-organization@1.4.5 to use axios version 1.12.0 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a0a5f2149724233a0e,1.13.5,1.11.0,0.00033,7.5,3,"Update remove-organization@1.4.5 to use axios version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.12.0,698626a081142d2263c6f36e,1.13.5,1.12.0,0.00033,7.5,3,"Update ts-lib-nucleus@6.8.2 (tetrascience.gh-tetrascience) to use axios version 1.13.5 (current: 1.12.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.11.0,698626a0abae91318e672320,1.12.0,1.11.0,0.00102,7.5,3,"Upgrade axios to version 1.12.0 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a0abae91318e672320,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a0abae91318e672320,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
330,CVE-2025-7783,"GHSA-fjxv-7rqg-78g4,CVE-2025-7783",npm://form-data@4.0.1,698626a181142d2263c6f3ff,4.0.4,4.0.1,0.00177,7.4,3,"Upgrade form-data to version 4.0.4 (current: 4.0.1, latest: 4.0.5).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.7.9,698626a181142d2263c6f3ff,1.13.5,1.7.9,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.7.9, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.7.9,698626a181142d2263c6f3ff,1.12.0,1.7.9,0.00102,7.5,3,"Upgrade axios to version 1.12.0 (current: 1.7.9, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
918,CVE-2025-27152,"GHSA-jr5f-v2jv-69x6,CVE-2025-27152",npm://axios@1.7.9,698626a181142d2263c6f3ff,1.8.2,1.7.9,0.00095,7.5,3,"Upgrade axios to version 1.8.2 (current: 1.7.9, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.13.2,698626a181142d2263c6f3ff,1.13.5,1.13.2,0.00033,7.5,3,"Update ts-lib-authorization@4.1.18 (tetrascience.gh-tetrascience) to use axios version 1.13.5 (current: 1.13.2, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a181142d2263c6f3ff,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.12.2,698626a12078d5420b9fe891,1.13.5,1.12.2,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.12.2, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
20,CVE-2025-15284,"GHSA-6rw7-vpxm-498p,CVE-2025-15284",npm://qs@6.13.0,698626a12078d5420b9fe891,6.14.1,6.13.0,0.00193,7.5,3,"Upgrade qs to version 6.14.1 (current: 6.13.0, latest: 6.15.0).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a12078d5420b9fe891,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.13.2,698626a1556d3872811472bb,1.13.5,1.13.2,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.13.2, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
20,CVE-2025-15284,"GHSA-6rw7-vpxm-498p,CVE-2025-15284",npm://qs@6.14.0,698626a1556d3872811472bb,6.14.1,6.14.0,0.00193,7.5,3,"Upgrade qs to version 6.14.1 (current: 6.14.0, latest: 6.15.0).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.13.2,698626a1556d387281147249,1.13.5,1.13.2,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.13.2, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
20,CVE-2025-15284,"GHSA-6rw7-vpxm-498p,CVE-2025-15284",npm://qs@6.14.0,698626a1a5f2149724233a85,6.14.1,6.14.0,0.00193,7.5,3,"Upgrade qs to version 6.14.1 (current: 6.14.0, latest: 6.15.0).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.13.2,698626a1a5f2149724233a85,1.13.5,1.13.2,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.13.2, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
1333,CVE-2026-26996,"GHSA-3ppc-4f35-3m26,CVE-2026-26996",npm://minimatch@3.1.2,698626a133f1ecc1eb7de8aa,3.1.3,3.1.2,0.00052,7.5,3,"Upgrade minimatch to version 3.1.3 (current: 3.1.2, latest: 10.2.4).",FINDING_REMEDIATION_UPGRADE
176,CVE-2026-23950,"GHSA-r6q2-hw4h-h46w,CVE-2026-23950",npm://tar@6.2.1,698626a133f1ecc1eb7de8aa,7.5.4,6.2.1,8e-05,8.8,3,"Upgrade tar to version 7.5.4 (current: 6.2.1, latest: 7.5.11).",FINDING_REMEDIATION_UPGRADE
400,CVE-2026-25547,"GHSA-7h2j-956f-4vf2,CVE-2026-25547",npm://brace-expansion@1.1.12,698626a133f1ecc1eb7de8aa,,1.1.12,0.00019,7.5,3,No patch upgrades available to fix the issue. Check the security advisory for alternative controls or actions.,FINDING_REMEDIATION_REVIEW
407,CVE-2026-27903,"GHSA-7r86-cg39-jmmj,CVE-2026-27903",npm://minimatch@3.1.2,698626a133f1ecc1eb7de8aa,3.1.3,3.1.2,0.00054,7.5,3,"Upgrade minimatch to version 3.1.3 (current: 3.1.2, latest: 10.2.4).",FINDING_REMEDIATION_UPGRADE
347,CVE-2025-65945,"GHSA-869p-cjfg-cm3x,CVE-2025-65945",npm://jws@3.2.2,698626a133f1ecc1eb7de8aa,3.2.3,3.2.2,0.0001,7.5,3,"Check if you can use a newer version of jsonwebtoken (current: 9.0.2, latest: 9.0.3) that requires jws 3.2.3 or higher (current: 3.2.2, latest: 4.0.1). See for example jsonwebtoken@5.0.0 (jws@3.2.3), jsonwebtoken@5.0.1 (jws@3.2.3), jsonwebtoken@5.0.2 (jws@3.2.3), or latest version jsonwebtoken@9.0.3 (jws@4.0.1).",FINDING_REMEDIATION_UPGRADE
1333,CVE-2022-25883,"GHSA-c2qf-rxjj-qqgw,CVE-2022-25883",npm://semver@5.3.0,698626a133f1ecc1eb7de8aa,5.7.2,5.3.0,0.00581,7.5,3,"No newer versions of imap (current: 0.8.19, latest: 0.8.19) require semver 5.7.2 or higher. Consider other options to upgrade semver to 5.7.2 (current: 5.3.0, latest: 7.7.4).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.12.2,698626a133f1ecc1eb7de8aa,1.13.5,1.12.2,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.12.2, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
1333,CVE-2026-27904,"GHSA-23c5-xmqv-rm74,CVE-2026-27904",npm://minimatch@3.1.2,698626a133f1ecc1eb7de8aa,3.1.4,3.1.2,0.00052,7.5,3,"Upgrade minimatch to version 3.1.4 (current: 3.1.2, latest: 10.2.4).",FINDING_REMEDIATION_UPGRADE
20,CVE-2025-15284,"GHSA-6rw7-vpxm-498p,CVE-2025-15284",npm://qs@6.14.0,698626a133f1ecc1eb7de8aa,6.14.1,6.14.0,0.00193,7.5,3,"Upgrade qs to version 6.14.1 (current: 6.14.0, latest: 6.15.0).",FINDING_REMEDIATION_UPGRADE
22,CVE-2026-29786,"GHSA-qffp-2rhf-9h96,CVE-2026-29786",npm://tar@6.2.1,698626a133f1ecc1eb7de8aa,7.5.10,6.2.1,0.00019,7.1,3,"Upgrade tar to version 7.5.10 (current: 6.2.1, latest: 7.5.11).",FINDING_REMEDIATION_UPGRADE
22,CVE-2026-24842,"GHSA-34x7-hfp2-rc4v,CVE-2026-24842",npm://tar@6.2.1,698626a133f1ecc1eb7de8aa,7.5.7,6.2.1,0.00018,8.2,3,"Upgrade tar to version 7.5.7 (current: 6.2.1, latest: 7.5.11).",FINDING_REMEDIATION_UPGRADE
1321,CVE-2020-8203,"GHSA-p6mc-m468-83gw,CVE-2020-8203",npm://lodash.pick@4.4.0,698626a1a5f2149724233a85,,4.4.0,0.02826,7.4,3,No patch upgrades available to fix the issue. Check the security advisory for alternative controls or actions.,FINDING_REMEDIATION_REVIEW
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.11.0,698626a1a90fe4fa80016ca0,1.12.0,1.11.0,0.00102,7.5,3,"Upgrade axios to version 1.12.0 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a1a90fe4fa80016ca0,1.13.5,1.11.0,0.00033,7.5,3,"Upgrade axios to version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
400,CVE-2025-69873,"GHSA-2g4f-4pwh-qvx6,CVE-2025-69873",npm://ajv@8.17.1,698626a133f1ecc1eb7de8cf,8.18.0,8.17.1,0.00055,7.5,3,"Upgrade ajv to version 8.18.0 (current: 8.17.1, latest: 8.18.0).",FINDING_REMEDIATION_UPGRADE
770,CVE-2025-58754,"GHSA-4hjh-wcwx-xvwj,CVE-2025-58754",npm://axios@1.11.0,698626a133f1ecc1eb7de8cf,1.12.0,1.11.0,0.00102,7.5,3,"Update ts-lib-hapi-middleware@1.0.0 (tetrascience.gh-tetrascience) to use axios version 1.12.0 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
330,CVE-2025-7783,"GHSA-fjxv-7rqg-78g4,CVE-2025-7783",npm://form-data@4.0.2,698626a133f1ecc1eb7de8cf,4.0.4,4.0.2,0.00177,7.4,3,"Upgrade form-data to version 4.0.4 (current: 4.0.2, latest: 4.0.5).",FINDING_REMEDIATION_UPGRADE
754,CVE-2026-25639,"GHSA-43fc-jf86-j433,CVE-2026-25639",npm://axios@1.11.0,698626a133f1ecc1eb7de8cf,1.13.5,1.11.0,0.00033,7.5,3,"Update ts-lib-hapi-middleware@1.0.0 (tetrascience.gh-tetrascience) to use axios version 1.13.5 (current: 1.11.0, latest: 1.13.6).",FINDING_REMEDIATION_UPGRADE
